year,income,Subregion,avg_gov_share,avg_voluntary_prepaid_share,avg_oop_share,avg_other_private_share,avg_external_share
2007,Low,Southern Africa,22.17361974499995,1.976942715,11.867361070000001,3.333062171936035,60.64901542499995
2007,Low,Western Africa,17.40816700374995,1.6911428357142857,49.222626923749985,1.994874782834948,29.437045453749988
2007,Lower-middle,Eastern Africa,26.5673000825,1.7284104599999996,44.229415894999974,1.9553978642651537,25.51947569999995
2007,Lower-middle,Middle Africa,23.1942990633333,0.5480512533333333,53.352493286666636,2.64571050802866,20.259445826666667
2007,Lower-middle,Northern Africa,36.17111253749992,1.7305042125,56.41939735249998,3.6520745456218497,2.02691132
2007,Lower-middle,Southern Africa,50.52556991499993,5.147432879999993,22.350869894999924,7.14220094680786,17.90633404249997
2007,Lower-middle,Western Africa,32.762692725714246,3.1138522979999976,52.373639242857124,1.2686555027961706,10.806613579999972
2007,Upper-middle,Eastern Africa,80.22377014,,19.23576736,,0.54046214
2007,Upper-middle,Middle Africa,36.91856766,3.61969605,54.40442466499999,0.7679720818996425,4.289339545000001
2007,Upper-middle,Northern Africa,68.15841292999995,1.07214952,30.76522254999995,0.985397696495056,0.04759066499999995
2007,Upper-middle,Southern Africa,48.37040042999995,21.034480975,19.43260169,0.9278774857521017,10.234639419999976
2008,Low,Eastern Africa,19.825563568571415,1.9595445483333334,37.910830225714285,3.269622067610419,37.78146362142856
2008,Low,Middle Africa,20.310781479999953,2.1107142850000002,63.39420128,1.3883921205997425,12.795910834999944
2008,Low,Northern Africa,31.93631744,0.74840117,62.40304947,2.43570446968078,2.47652745
2008,Low,Southern Africa,25.79218578499995,2.167624769999995,10.78682804,3.53176188468933,57.7215995799999
2008,Low,Western Africa,17.070755957499976,1.7853285099999974,48.51376437999996,1.9090127447604341,30.482310535
2008,Lower-middle,Eastern Africa,31.493199587499973,1.9884451649999972,44.4896545399999,2.0643469077556325,19.9643538
2008,Lower-middle,Middle Africa,28.209976196666634,0.5675900599999996,47.44286219,2.9569355845451333,20.822635966666667
2008,Lower-middle,Northern Africa,37.29144334749995,1.5481982224999973,55.492549894999954,3.6352863162755757,2.032522305
2008,Lower-middle,Southern Africa,51.72725772999998,4.562946716666663,18.6556344025,6.298321088155103,21.471157132499926
2008,Lower-middle,Western Africa,31.8077926642857,3.23749975,51.48778206999999,1.303664433956143,12.505613191428568
2008,Upper-middle,Eastern Africa,68.35558319,,31.15786171,,0.48655072
2008,Upper-middle,Middle Africa,38.26213645499995,3.828948019999995,54.32363700999995,0.7465600967407224,2.8387184149999998
2008,Upper-middle,Northern Africa,69.8267898549999,0.92872608,29.206318855,0.892235934734344,0.05640998999999995
2008,Upper-middle,Southern Africa,47.658280374999975,20.402001935,20.727344034999977,0.8079851865768407,10.404388454999975
2009,Low,Eastern Africa,19.535535132857145,1.880622704999998,37.15934276428568,3.742778003215785,38.48506437142853
2009,Low,Middle Africa,18.240744109999948,2.26146868,56.428478240000004,1.3326713740825644,21.73663759
2009,Low,Northern Africa,41.11616135,0.72235817,52.4758224499999,2.02726340293884,3.65839458
